date,state,fips,cases,daily_cases,deaths,daily_deaths,total_vaccinations,total_distributed,daily_distributed,total_people_vaccinated,daily_people_vaccinated,total_people_fully_vaccinated,daily_people_fully_vaccinated,daily_vaccinations,mobility_composite
3/13/2021,Alabama,1,503305,594,10327,28,1288242,1918560,80160,841394,24976,492755,20430,"26,935",-1.013040949
3/12/2021,Alabama,1,502711,448,10299,25,1249205,1838400,22170,816418,25554,472325,19579,"26,375",-1.013040949
3/11/2021,Alabama,1,502263,865,10274,52,1209802,1816230,40570,790864,22362,452746,17728,"25,376",-1.013040949
3/10/2021,Alabama,1,501398,782,10222,36,1173820,1775660,86610,768502,21234,435018,14935,"24,827",-1.013040949
3/9/2021,Alabama,1,500616,524,10186,38,1140984,1689050,60700,747268,14301,420083,10146,"24,118",-1.013040949
3/8/2021,Alabama,1,500092,273,10148,0,1116676,1628350,0,732967,23231,409937,11902,"24,040",-1.013040949
3/7/2021,Alabama,1,499819,408,10148,-1,1110132,1628350,0,709736,6011,398035,4416,"23,947",-1.013040949
3/6/2021,Alabama,1,499411,524,10149,27,1099697,1628350,71890,703725,16280,393619,18793,"24,087",-1.013040949
3/5/2021,Alabama,1,498887,811,10122,28,1064578,1556460,25990,687445,14899,374826,17442,"24,388",-1.013040949
3/4/2021,Alabama,1,498076,922,10094,65,1032171,1530470,61370,672546,13640,357384,18417,"23,916",-1.013040949
3/3/2021,Alabama,1,497154,2733,10029,38,1000031,1469100,7780,658906,11154,338967,16621,"22,904",-1.013040949
3/2/2021,Alabama,1,494421,652,9991,60,972161,1461320,59040,647752,9763,322346,13930,"22,436",-1.013040949
3/1/2021,Alabama,1,493769,517,9931,2,948393,1402280,0,637989,3197,308416,2685,"22,111",-1.685116924
2/28/2021,Alabama,1,493252,569,9929,-1,942502,1402280,100,634792,6209,305731,5183,"21,984",-2.484446092
2/27/2021,Alabama,1,492683,834,9930,61,931090,1402180,21800,628583,15486,300548,21563,"22,022",-3.412706301
2/26/2021,Alabama,1,491849,739,9869,38,893859,1380380,210260,613097,11754,278985,17296,"22,104",-4.469280544
2/25/2021,Alabama,1,491110,890,9831,87,864757,1170120,31470,601343,10334,261689,14665,"27,531",-5.650251547
2/24/2021,Alabama,1,490220,1247,9744,84,839703,1138650,54210,591009,10532,247024,13951,"27,098",-6.947028903
2/23/2021,Alabama,1,488973,1453,9660,68,815108,1084440,2340,580477,10122,233073,11288,"25,489",-8.342196677
2/22/2021,Alabama,1,487520,677,9592,0,793614,1082100,0,570355,2850,221785,2146,"24,164",-9.805468937
2/21/2021,Alabama,1,486843,857,9592,2,788613,1082100,3300,567505,6537,219639,5127,"25,194",-11.29256685
2/20/2021,Alabama,1,485986,774,9590,17,776936,1078800,1200,560968,15537,214512,22208,"25,111",-12.74523793
2/19/2021,Alabama,1,485212,847,9573,149,739132,1077600,45425,545431,39771,192304,27200,"24,002",-14.09283744
2/18/2021,Alabama,1,484365,1198,9424,78,672038,1032175,0,505660,11236,165104,10763,"18,400",-15.26028329
2/17/2021,Alabama,1,483167,679,9346,89,650020,1032175,16400,494424,8218,154341,5053,"19,174",-16.18338108
2/16/2021,Alabama,1,482488,883,9257,13,636682,1015775,25113,486206,6071,149288,6128,"20,816",-16.82034473
2/15/2021,Alabama,1,481605,674,9244,2,"634,659",990663,25113,480136,6071,143160,6128,"22,405",-17.15686659
2/14/2021,Alabama,1,480931,1075,9242,0,612254,965550,1950,474065,7033,137032,4003,"21,417",-17.20812013
2/13/2021,Alabama,1,479856,1189,9242,62,601159,963600,27400,467032,18961,133029,11010,"20,855",-17.01558216
2/12/2021,Alabama,1,478667,1097,9180,159,571115,936200,24325,448071,16812,122019,10983,"20,074",-16.63825417
2/11/2021,Alabama,1,477570,1503,9021,133,543237,911875,50700,431259,18797,111036,8516,"19,258",-16.14366955
2/10/2021,Alabama,1,476067,1401,8888,309,515802,861175,37575,412462,17266,102520,7487,"18,209",-15.59876858
2/9/2021,Alabama,1,474666,1318,8579,56,490969,823600,19500,395196,16682,95033,6580,"17,012",-15.06180543
2/8/2021,Alabama,1,473348,925,8523,8,467636,804100,0,378514,2947,88453,2312,"15,622",-14.57772163
2/7/2021,Alabama,1,472423,1112,8515,2,462332,804100,0,375567,5292,86141,1863,"15,480",-14.17816061
2/6/2021,Alabama,1,471311,1992,8513,64,455173,804100,4225,370275,16753,84278,7675,"16,105",-13.88301156
2/5/2021,Alabama,1,469319,1496,8449,84,430597,799875,200,353522,14677,76603,7448,"18,526",-13.70165888
2/4/2021,Alabama,1,467823,2767,8365,162,408428,799675,34525,338845,13847,69155,6165,"18,491",-13.63407175
2/3/2021,Alabama,1,465056,2118,8203,309,388339,765150,84600,324998,12287,62990,4165,"17,414",-13.67276387
2/2/2021,Alabama,1,462938,2078,7894,206,371882,680550,21150,312711,11083,58825,2517,"16,703",-13.80399004
2/1/2021,Alabama,1,460860,1221,7688,0,358280,659400,0,301628,3327,56308,977,"15,381",-14.00799155
1/31/2021,Alabama,1,459639,4057,7688,122,353974,659400,0,298301,9933,55331,1589,"15,748",-14.26019363
1/30/2021,Alabama,1,455582,0,7566,0,342436,659400,0,288368,31767,53742,9669,"17,271",-14.53286004
1/29/2021,Alabama,1,455582,2848,7566,226,300915,659400,4125,256601,15264,44073,6642,"14,514",-14.7969564
1/28/2021,Alabama,1,452734,3648,7340,168,278993,655275,21275,241337,8704,37431,3836,"16,153",-15.02578023
1/27/2021,Alabama,1,449086,3177,7172,276,266444,634000,65000,232633,8779,33595,2662,"18,178",-15.19948956
1/26/2021,Alabama,1,445909,2900,6896,234,254959,569000,47775,223854,3390,30933,955,"17,738",-15.30738071
1/25/2021,Alabama,1,443009,1839,6662,2,250612,521225,0,220464,6631,29978,242,"18,196",-15.34820558
1/24/2021,Alabama,1,441170,1728,6660,3,243737,521225,0,213833,19878,29736,2314,"18,294",-15.32993845
1/23/2021,Alabama,1,439442,3355,6657,171,221540,521225,1700,193955,19638,27422,2582,"16,202",-15.26841899
1/22/2021,Alabama,1,436087,3551,6486,107,199314,519525,26400,174317,29888,24840,3495,"14,107",-15.18309239
1/21/2021,Alabama,1,432536,2881,6379,96,165919,493125,9850,144429,23316,21345,3389,"10,517",-15.09098089
1/20/2021,Alabama,1,429655,3112,6283,157,139200,483275,38625,121113,6794,17956,1610,"7,880",-15.00543914
1/19/2021,Alabama,1,426543,2515,6126,5,130795,444650,0,114319,6841,16346,715,"7,523",-14.93630327
1/18/2021,Alabama,1,424028,1430,6121,1,123091,444650,0,107478,6750,15632,1066,"7,517",-14.88981704
1/17/2021,Alabama,1,422598,1917,6120,1,"115,574",444650,0,100729,6484,14565,1330,"7,509",-14.87023236
1/16/2021,Alabama,1,420681,3153,6119,89,"108,065",444650,0,94245,7289,13235,-253,"7,498",-14.88187493
1/15/2021,Alabama,1,417528,2945,6030,85,100567,444650,9300,86956,6476,13488,2122,"7,478",-14.92917592
1/14/2021,Alabama,1,414583,3588,5945,185,92300,435350,56375,80480,5688,11367,2122,"7,083",-15.01635368
1/13/2021,Alabama,1,410995,3147,5760,187,84040,378975,1950,74792,3931,9245,1975,"5,906",-15.1472724
1/12/2021,Alabama,1,407848,3848,5573,226,78134,377025,32878,70861,5045,7270,974,"5,706",-15.32324785
1/11/2021,Alabama,1,404000,2100,5347,13,72428,344147,29889,65816,4586,6296,834,"5,187",-15.54168237
1/10/2021,Alabama,1,401900,2750,5334,35,67241,314258,27172,61230,4169,5462,693,"4,715",-15.7970595
1/9/2021,Alabama,1,399150,4863,5299,108,62526,287086,24701,57061,3790,4769,642,"4,287",-16.0819834
1/8/2021,Alabama,1,394287,5057,5191,111,58239,262385,22456,53271,3445,4127,638,"3,897",-16.38482608
1/7/2021,Alabama,1,389230,5046,5080,86,54342,239929,20414,49826,3132,3490,614,"3,543",-16.68922065
1/6/2021,Alabama,1,384184,4591,4994,108,50799,219515,18559,46694,2848,2876,574,"3,221",-16.97801693
1/5/2021,Alabama,1,379593,5498,4886,8,47578,200956,16871,43846,2589,2301,620,"2,928",-17.23487776
1/4/2021,Alabama,1,374095,2161,4878,5,44650,184085,15338,41257,2353,1681,537,"2,662",-17.44302047
1/3/2021,Alabama,1,371934,2476,4873,1,41988,168747,13943,38904,2139,1144,449,"2,420",-17.58527949
1/2/2021,Alabama,1,369458,3711,4872,0,39568,154804,139433,36765,21394,695,364,"24,197",-17.6455034
1/1/2021,Alabama,1,365747,4521,4872,45,15371,15371,15371,15371,15371,331,331,"15,371",-17.60885723
12/31/2020,Alabama,1,361226,4406,4827,53,,,,,,,,,-17.46245682
12/30/2020,Alabama,1,356820,5016,4774,37,,,,,,,,,-17.19640952
12/29/2020,Alabama,1,351804,3907,4737,25,,,,,,,,,-16.80534458
12/28/2020,Alabama,1,347897,2269,4712,21,,,,,,,,,-16.29104183
12/27/2020,Alabama,1,345628,2170,4691,6,,,,,,,,,-15.66580241
12/26/2020,Alabama,1,343458,1032,4685,5,,,,,,,,,-14.95363468
12/25/2020,Alabama,1,342426,3625,4680,4,,,,,,,,,-14.18751645
12/24/2020,Alabama,1,338801,4232,4676,89,,,,,,,,,-13.404992
12/23/2020,Alabama,1,334569,4758,4587,135,,,,,,,,,-12.64491729
12/22/2020,Alabama,1,329811,4979,4452,63,,,,,,,,,-11.94486129
12/21/2020,Alabama,1,324832,2380,4389,0,,,,,,,,,-11.33840693
12/20/2020,Alabama,1,322452,2548,4389,0,,,,,,,,,-10.85131325
12/19/2020,Alabama,1,319904,4221,4389,93,,,,,,,,,-10.49483196
12/18/2020,Alabama,1,315683,5348,4296,42,,,,,,,,,-10.26103781
12/17/2020,Alabama,1,310335,4695,4254,56,,,,,,,,,-10.12582666
12/16/2020,Alabama,1,305640,4107,4198,74,,,,,,,,,-10.06056881
12/15/2020,Alabama,1,301533,3638,4124,22,,,,,,,,,-10.04022109
12/14/2020,Alabama,1,297895,2264,4102,0,,,,,,,,,-10.04685735
12/13/2020,Alabama,1,295631,2790,4102,0,,,,,,,,,-10.07102528
12/12/2020,Alabama,1,292841,4066,4102,16,,,,,,,,,-10.11074487
12/11/2020,Alabama,1,288775,3853,4086,52,,,,,,,,,-10.16750307
12/10/2020,Alabama,1,284922,4735,4034,49,,,,,,,,,-10.24374837
12/9/2020,Alabama,1,280187,3522,3985,43,,,,,,,,,-10.34343729
12/8/2020,Alabama,1,276665,4436,3942,50,,,,,,,,,-10.47125305
12/7/2020,Alabama,1,272229,2352,3892,3,,,,,,,,,-10.63240205
12/6/2020,Alabama,1,269877,2288,3889,12,,,,,,,,,-10.83168207
12/5/2020,Alabama,1,267589,3390,3877,46,,,,,,,,,-11.07073451
12/4/2020,Alabama,1,264199,3840,3831,55,,,,,,,,,-11.34371738
12/3/2020,Alabama,1,260359,3531,3776,65,,,,,,,,,-11.63479475
12/2/2020,Alabama,1,256828,3928,3711,73,,,,,,,,,-11.92017196
12/1/2020,Alabama,1,252900,3376,3638,60,,,,,,,,,-12.16912606
11/30/2020,Alabama,1,249524,2295,3578,1,,,,,,,,,-12.34644429
11/29/2020,Alabama,1,247229,2236,3577,5,,,,,,,,,-12.41713927
11/28/2020,Alabama,1,244993,2119,3572,0,,,,,,,,,-12.35268553
11/27/2020,Alabama,1,242874,917,3572,0,,,,,,,,,-12.13766042
11/26/2020,Alabama,1,241957,2639,3572,40,,,,,,,,,-11.77582137
11/25/2020,Alabama,1,239318,2453,3532,60,,,,,,,,,-11.29273826
11/24/2020,Alabama,1,236865,2785,3472,13,,,,,,,,,-10.73145255
11/23/2020,Alabama,1,234080,1574,3459,2,,,,,,,,,-10.14417697
11/22/2020,Alabama,1,232506,1798,3457,0,,,,,,,,,-9.584810821
11/21/2020,Alabama,1,230708,2335,3457,6,,,,,,,,,-9.100568824
11/20/2020,Alabama,1,228373,2463,3451,32,,,,,,,,,-8.722120868
11/19/2020,Alabama,1,225910,2424,3419,72,,,,,,,,,-8.46059194
11/18/2020,Alabama,1,223486,2638,3347,46,,,,,,,,,-8.312665103
